Year,State,LaborForceParticipation
1976/12/1,South Dakota,64.9
1976/12/1,Tennessee,60.4
1976/12/1,Texas,63.9
1976/12/1,Utah,63
1976/12/1,Vermont,63.5
1976/12/1,Virginia,65.3
1976/12/1,Washington,62.5
1976/12/1,West Virginia,51.1
1976/12/1,Wisconsin,65.9
1976/12/1,Wyoming,66.3
1977/1/1,Alabama,57.5
1977/1/1,Alaska,69.1
1977/1/1,Arizona,60.2
1977/1/1,Arkansas,58
1977/1/1,California,63.1
1977/1/1,Colorado,67.3
1977/1/1,Connecticut,64.3
1977/1/1,Delaware,63.1
1977/1/1,District of Columbia,63.8
1977/1/1,Florida,54.9
1977/1/1,Georgia,64.2
1977/1/1,Hawaii,68.9
1977/1/1,Idaho,64
1977/1/1,Illinois,63.1
1977/1/1,Indiana,63.8
1977/1/1,Iowa,65.1
1977/1/1,Kansas,65.9
1977/1/1,Kentucky,60
1977/1/1,Louisiana,56.6
1977/1/1,Maine,61.3
1977/1/1,Maryland,64.6
1977/1/1,Massachusetts,64.5
1977/1/1,Michigan,62.1
1977/1/1,Minnesota,66.4
1977/1/1,Mississippi,58.6
1977/1/1,Missouri,61.6
1977/1/1,Montana,62.9
1977/1/1,Nebraska,65.7
1977/1/1,Nevada,71.2
1977/1/1,New Hampshire,66.8
1977/1/1,New Jersey,62.1
1977/1/1,New Mexico,60.9
1977/1/1,New York,58.1
1977/1/1,North Carolina,66
1977/1/1,North Dakota,63.4
1977/1/1,Ohio,61.5
1977/1/1,Oklahoma,59.2
1977/1/1,Oregon,63.8
1977/1/1,Pennsylvania,58.5
1977/1/1,Rhode Island,63.4
1977/1/1,South Carolina,64.5
1977/1/1,South Dakota,65.1
1977/1/1,Tennessee,60.6
1977/1/1,Texas,64
1977/1/1,Utah,63.1
1977/1/1,Vermont,63.6
1977/1/1,Virginia,65.3
1977/1/1,Washington,62.6
1977/1/1,West Virginia,51.2
1977/1/1,Wisconsin,65.9
1977/1/1,Wyoming,66.5
1977/2/1,Alabama,57.7
1977/2/1,Alaska,69.1
1977/2/1,Arizona,60.3
1977/2/1,Arkansas,58.1
1977/2/1,California,63.2
1977/2/1,Colorado,67.4
1977/2/1,Connecticut,64.4
1977/2/1,Delaware,63.2
1977/2/1,District of Columbia,63.9
1977/2/1,Florida,54.9
1977/2/1,Georgia,64.1
1977/2/1,Hawaii,68.9
1977/2/1,Idaho,64.1
1977/2/1,Illinois,63.3
1977/2/1,Indiana,63.8
1977/2/1,Iowa,65.3
1977/2/1,Kansas,66
1977/2/1,Kentucky,60.2
1977/2/1,Louisiana,56.8
1977/2/1,Maine,61.3
1977/2/1,Maryland,64.7
1977/2/1,Massachusetts,64.5
1977/2/1,Michigan,62.2
1977/2/1,Minnesota,66.6
1977/2/1,Mississippi,58.7
1977/2/1,Missouri,61.7
1977/2/1,Montana,63
1977/2/1,Nebraska,65.8
1977/2/1,Nevada,71.2
1977/2/1,New Hampshire,66.8
1977/2/1,New Jersey,62.2
1977/2/1,New Mexico,60.9
1977/2/1,New York,58.1
1977/2/1,North Carolina,66.1
1977/2/1,North Dakota,63.4
1977/2/1,Ohio,61.6
1977/2/1,Oklahoma,59.4
1977/2/1,Oregon,63.9
1977/2/1,Pennsylvania,58.6
1977/2/1,Rhode Island,63.5
1977/2/1,South Carolina,64.6
1977/2/1,South Dakota,65.1
1977/2/1,Tennessee,60.8
1977/2/1,Texas,64.1
1977/2/1,Utah,63.1
1977/2/1,Vermont,64
1977/2/1,Virginia,65.3
1977/2/1,Washington,62.6
1977/2/1,West Virginia,51.4
1977/2/1,Wisconsin,65.9
1977/2/1,Wyoming,66.5
1977/3/1,Alabama,57.9
1977/3/1,Alaska,69.5
1977/3/1,Arizona,60.4
1977/3/1,Arkansas,58.2
1977/3/1,California,63.3
1977/3/1,Colorado,67.4
1977/3/1,Connecticut,64.6
1977/3/1,Delaware,63.5
1977/3/1,District of Columbia,63.8
1977/3/1,Florida,54.9
1977/3/1,Georgia,64.1
1977/3/1,Hawaii,68.9
1977/3/1,Idaho,64.2
1977/3/1,Illinois,63.5
1977/3/1,Indiana,63.9
1977/3/1,Iowa,65.5
1977/3/1,Kansas,66.1
1977/3/1,Kentucky,60.3
1977/3/1,Louisiana,57
1977/3/1,Maine,61.2
1977/3/1,Maryland,64.8
1977/3/1,Massachusetts,64.5
1977/3/1,Michigan,62.3
1977/3/1,Minnesota,66.8
1977/3/1,Mississippi,58.7
1977/3/1,Missouri,61.8
1977/3/1,Montana,63.1
1977/3/1,Nebraska,66
1977/3/1,Nevada,71.4
1977/3/1,New Hampshire,66.9
1977/3/1,New Jersey,62.3
1977/3/1,New Mexico,61.1
1977/3/1,New York,58.2
1977/3/1,North Carolina,66.2
1977/3/1,North Dakota,63.4
1977/3/1,Ohio,61.7
1977/3/1,Oklahoma,59.6
1977/3/1,Oregon,63.9
